;area;room;bath;garage;price;ext_area;property;zone
368;115;3;2;2;18000;135;residential;north
369;115;2;3;2;4200;130;residential;midtown
370;170;3;1;3;8000;139;residential;midtown
371;170;3;2;2;4500;96;residential;midtown
372;140;4;2;3;39000;180;residential;north
373;140;2;2;2;2600;66;residential;midtown
374;100;2;2;1;19500;100;residential;north
375;100;0;0;0;2000;30;commercial;north
376;135;3;3;1;3000;132;residential;midtown
377;135;1;1;0;1400;28;commercial;north
378;130;0;1;1;1381;25;commercial;continental
379;130;1;1;2;11670;101;residential;north
380;139;4;4;2;4500;173;residential;midtown
381;139;3;2;1;2900;103;residential;midtown
382;96;2;2;2;2680;95;residential;midtown
383;96;1;1;0;770;31;residential;midtown
384;180;5;6;0;135000;400;residential;north
385;180;2;1;1;2000;83;residential;south
386;66;3;1;2;3300;70;residential;midtown
387;66;0;0;0;2000;60;commercial;north
388;100;3;3;2;105000;200;residential;east
389;100;1;1;1;8400;42;residential;north
390;30;0;3;0;27000;217;commercial;midtown
391;30;2;1;1;23400;72;residential;north
392;132;2;2;2;3800;82;residential;midtown
393;132;2;2;1;2300;54;residential;south
394;28;0;1;0;880;44;commercial;midtown
395;28;6;6;7;35000;900;residential;north
396;44;0;1;0;880;44;commercial;midtown
397;44;6;6;7;35000;900;residential;north
398;900;3;1;1;2000;103;residential;midtown
399;900;3;4;2;4000;160;residential;midtown
400;103;3;2;4;19500;150;residential;north
401;103;3;2;1;3300;140;residential;midtown
402;160;1;1;1;6238;60;residential;midtown
403;160;0;0;0;3000;86;commercial;midtown
404;150;4;4;4;96000;272;residential;north
405;150;4;1;5;10000;280;residential;continental
406;140;1;1;1;7500;45;residential;north
407;140;4;5;2;37500;10;residential;north
408;60;0;4;1;22000;462;commercial;midtown
409;60;2;2;1;2800;71;residential;midtown
410;86;4;2;1;5000;250;residential;east
411;86;2;1;1;16500;50;residential;north
412;272;0;1;2;4227;65;commercial;continental
413;272;0;1;0;900;30;commercial;midtown
414;280;4;1;2;36000;120;residential;north
415;280;2;2;1;3200;69;residential;midtown
416;45;5;8;7;450000;1226;residential;north
417;45;3;3;2;5500;103;residential;midtown
418;10;0;1;1;1523;27;commercial;continental
419;10;4;6;4;39000;1000;residential;north
420;462;2;3;0;1800;88;residential;midtown
421;462;1;1;1;1600;48;residential;midtown
422;71;4;3;2;9000;340;residential;continental
423;71;3;2;1;1520;80;residential;midtown
424;250;5;2;0;45000;100;residential;north
425;250;4;6;2;23000;450;residential;north
426;50;3;1;0;5000;220;residential;east
427;50;3;3;1;3900;135;residential;south
428;65;0;1;1;1900;46;commercial;south
429;65;4;3;2;30000;190;residential;north
430;30;2;3;2;51000;90;residential;north
431;30;3;2;2;4900;83;residential;midtown
432;800;4;6;4;18000;800;residential;midtown
433;800;2;3;2;51000;90;residential;north
434;90;3;2;2;4900;83;residential;midtown
435;90;3;3;2;54000;200;residential;east
436;83;3;1;1;1900;64;residential;midtown
437;83;2;1;1;16500;50;residential;north
438;200;3;3;1;2450;112;residential;midtown
439;200;2;1;1;1500;55;residential;midtown
440;64;2;1;1;1500;100;residential;midtown
441;64;2;2;2;3900;78;residential;south
442;50;2;2;1;3100;63;residential;midtown
443;50;3;2;2;38850;180;residential;north
444;112;3;2;2;6500;190;residential;south
445;112;5;5;2;7000;330;residential;midtown
446;55;1;1;0;10500;45;residential;north
447;55;1;1;1;12000;40;residential;east
448;100;0;1;0;700;20;commercial;continental
449;100;0;1;1;1674;33;commercial;continental
450;78;2;2;1;12600;68;residential;north
451;78;2;2;1;9000;60;residential;north
452;63;0;1;1;1200;33;commercial;continental
453;63;3;2;2;7300;98;residential;midtown
454;180;1;1;1;2300;33;residential;midtown
455;180;0;1;1;3863;70;commercial;continental
456;190;0;1;1;1300;32;commercial;continental
457;190;3;3;1;5250;116;residential;midtown
458;330;2;1;1;24000;72;residential;north
